phone_number,email,credit_score,age_group,family_background,income,occupation,previous_interaction,comments,intent
(451)163-5483,carrollvanessa@gmail.com,553,18-25,Married with Kids,337144,Artist,Yes,urgent,1
366-740-7671x32195,esanchez@coffey-wong.net,807,51+,Married with Kids,934162,Business,Yes,not interested,1
125-533-8895x70919,julie26@robinson.com,386,36-50,Single,531374,Doctor,No,please call back,0
+1-371-345-8797x597,vnunez@hotmail.com,417,51+,Married with Kids,798784,Doctor,No,,1
1430133084,randall66@yahoo.com,512,26-35,Married with Kids,654258,Doctor,Yes,,0
862-994-6546,jdominguez@white.com,462,51+,Married with Kids,296013,Doctor,Yes,please call back,1
668-577-0250x191,cwillis@fry.net,402,26-35,Single,210670,Student,Yes,urgent,1
274-902-5254x44482,turneramy@ayers.net,500,36-50,Married,889535,Business,No,please call back,1
298.527.1190x768,heather02@french-wilson.com,738,26-35,Single,150506,Doctor,No,,0
+1-039-663-4051x3401,richardkyle@moore.biz,363,36-50,Married with Kids,413660,Business,Yes,follow up later,0
+1-428-414-6049x23639,mark04@mitchell-smith.info,547,36-50,Single,821522,Artist,Yes,,1
903-918-6385,hallmark@yahoo.com,513,36-50,Married,791429,Student,No,please call back,1
199.329.4661,dsloan@hotmail.com,366,18-25,Single,181967,Business,No,please call back,0
001-654-655-1810,ericrocha@gmail.com,826,18-25,Married with Kids,430941,Doctor,Yes,not interested,1
084-856-7067,davidfisher@johnson.com,573,36-50,Married,347970,Student,No,,1
988-053-4375x016,rebecca68@davis.com,483,18-25,Married,382040,Student,Yes,,1
564-520-7796x74852,emma64@gmail.com,811,51+,Married with Kids,745405,Engineer,No,urgent,1
881-020-7098x573,mistydavis@yahoo.com,839,18-25,Married with Kids,606026,Student,Yes,,1
(052)597-4682x19900,oriley@gmail.com,562,18-25,Married with Kids,962002,Doctor,No,urgent,1
891.118.5884x085,chrischambers@gmail.com,827,18-25,Single,361478,Doctor,No,urgent,1
001-494-664-9556x1090,kellymitchell@hotmail.com,676,18-25,Married with Kids,205353,Doctor,No,,0
186.686.6107,dominguezbrian@hotmail.com,673,26-35,Married,420283,Engineer,No,not interested,0
+1-494-027-4871x280,alan20@gutierrez-smith.net,739,51+,Single,831241,Artist,No,urgent,1
+1-004-529-8315,jray@dickerson-evans.com,712,18-25,Married,613474,Artist,No,please call back,1
818-612-5761x003,walkershannon@gmail.com,550,36-50,Married,404697,Business,No,urgent,1
+1-222-078-9310x23461,petersentiffany@yahoo.com,771,51+,Married with Kids,612963,Student,No,not interested,1
650-474-8603x36615,zgardner@mitchell.com,488,26-35,Single,841196,Engineer,No,not interested,1
(350)680-6358,jonathanelliott@gmail.com,450,36-50,Married with Kids,486019,Student,No,not interested,0
001-177-364-3729x393,campbellbryan@yahoo.com,591,51+,Married,212837,Student,No,not interested,0
001-401-382-7241x81445,nicolemckenzie@hogan-hicks.org,642,36-50,Single,975625,Business,No,follow up later,1
+1-433-714-9432,hjenkins@hunt-brock.com,621,18-25,Single,507889,Engineer,Yes,,1
245.445.7694,nzamora@hotmail.com,539,51+,Married,445789,Engineer,No,not interested,0
270.263.2282x1019,michaelbond@yahoo.com,622,18-25,Married,341489,Business,Yes,,1
523.615.1624x0706,jamesphillips@reed.com,498,18-25,Single,563989,Engineer,Yes,,0
+1-571-780-2420x7873,kyle49@gmail.com,696,51+,Married with Kids,722352,Business,Yes,,1
001-633-150-5791,catherine35@yahoo.com,387,18-25,Married,957139,Business,Yes,please call back,1
5699752212,sarah86@torres.com,599,26-35,Single,974483,Doctor,Yes,urgent,1
145.164.2869x15444,thompsonjennifer@adams.net,329,36-50,Married,737150,Student,Yes,,1
220.355.2230,julie24@quinn.info,332,36-50,Married with Kids,579389,Engineer,Yes,not interested,0
(404)494-8941x9297,howardrobert@shelton.org,667,51+,Married,713414,Business,No,not interested,1
7411827073,lopezmary@larson-gilbert.net,738,51+,Single,906477,Doctor,No,follow up later,1
820.654.2854,gregory08@hotmail.com,751,26-35,Single,651438,Artist,Yes,follow up later,1
040.828.4341x153,qdawson@yahoo.com,666,18-25,Single,350615,Student,No,urgent,1
+1-337-115-4299x289,ajones@barton-rose.biz,684,26-35,Single,346089,Artist,Yes,please call back,0
(046)038-5294x6477,michael89@whitney.com,491,26-35,Married,273535,Artist,No,,0
115.290.3053x629,fryestephen@miller-yu.com,622,36-50,Single,215587,Business,Yes,follow up later,1
001-833-813-2382x9361,shawn45@hall.net,329,18-25,Single,985996,Business,No,,1
(217)648-3789x198,jasonprice@whitaker.org,766,26-35,Single,796456,Business,No,urgent,1
001-410-031-1378x7288,ericbrown@yahoo.com,592,26-35,Single,250713,Business,Yes,urgent,1
(156)560-5651,ritawilson@hotmail.com,654,51+,Married,731469,Artist,No,please call back,1
3787880781,huertajo@williams-cortez.com,429,18-25,Married,622438,Doctor,Yes,not interested,0
383-333-1151,elizabethlittle@miller-richards.com,496,51+,Married with Kids,484733,Business,No,,1
(231)077-3521,scottharris@fuller.com,588,51+,Single,567648,Engineer,Yes,urgent,1
2918419011,nallen@yahoo.com,405,18-25,Married,147296,Student,No,not interested,0
001-510-093-9803x0574,wherrera@hotmail.com,656,26-35,Single,778393,Student,No,urgent,1
+1-476-578-3738,gward@hotmail.com,819,18-25,Single,680499,Business,Yes,urgent,1
429-880-0954x164,colleendiaz@fox.net,605,18-25,Married,856803,Student,Yes,not interested,1
216-900-1834x412,schultzdavid@yahoo.com,443,18-25,Single,541119,Artist,No,,1
140-381-3739x7197,jerryharper@hotmail.com,507,51+,Married,822279,Engineer,No,please call back,1
001-237-825-5339x98317,pamela92@ruiz.com,454,26-35,Single,679296,Business,Yes,follow up later,0
357-353-9070,pconner@yahoo.com,778,51+,Married with Kids,796068,Student,No,follow up later,1
(957)822-4926x55910,ihensley@lewis-ruiz.org,643,26-35,Single,873262,Student,Yes,,1
864.703.8087,ogeorge@yahoo.com,569,36-50,Married with Kids,186127,Artist,Yes,not interested,0
664-708-7015,chenamy@hotmail.com,776,18-25,Married with Kids,980626,Student,No,,1
078.477.8012x622,vanessa01@gmail.com,623,51+,Married with Kids,966257,Business,No,urgent,1
(651)194-8917,tracy52@hotmail.com,750,51+,Married,774049,Doctor,Yes,urgent,1
255.884.2591x790,msilva@lawrence.com,563,26-35,Married,736458,Artist,Yes,follow up later,1
530-219-6565x1584,johnsonpaula@hotmail.com,801,36-50,Married with Kids,657905,Doctor,Yes,urgent,1
349.512.5185x78272,joseph82@kelly.com,428,26-35,Single,403147,Artist,Yes,not interested,0
755-867-0052,asimpson@hotmail.com,822,26-35,Single,621267,Artist,No,urgent,1
993.833.3603x78315,krista57@gmail.com,648,26-35,Married,339948,Artist,Yes,follow up later,1
4284027926,lchen@hotmail.com,648,36-50,Single,606122,Business,Yes,please call back,1
593-234-5554x79896,stephanie16@anderson.com,529,18-25,Single,991379,Artist,No,not interested,1
001-255-900-6749,hectormoore@yu.com,491,51+,Single,905419,Engineer,Yes,not interested,1
+1-804-123-2079x28101,dmack@holmes.com,454,26-35,Married with Kids,770215,Engineer,No,follow up later,1
590-106-3516,phill@gordon-craig.org,340,18-25,Single,135531,Student,Yes,please call back,0
375-404-9212,taylorpamela@mitchell-sanchez.info,772,18-25,Married with Kids,122513,Artist,No,follow up later,1
425.507.4067x3064,smithwilliam@gmail.com,331,51+,Married with Kids,325577,Artist,No,not interested,0
242-669-3418,elliottbarbara@smith.com,382,18-25,Married,254499,Doctor,No,not interested,0
076-878-7756x2446,megan24@yahoo.com,326,51+,Married with Kids,435909,Student,Yes,,0
+1-734-772-6216,ralphvance@hotmail.com,351,36-50,Single,670395,Doctor,Yes,not interested,0
(363)916-1710x30290,rogerselizabeth@peterson.com,694,26-35,Married with Kids,507711,Artist,No,not interested,0
001-063-097-3257x440,leedebra@maxwell.com,696,18-25,Single,414374,Doctor,Yes,not interested,0
483-218-0614x373,farrellwilliam@yahoo.com,525,51+,Married,770473,Doctor,Yes,please call back,1
+1-553-228-1696x094,jessica82@young.com,513,36-50,Single,607043,Business,Yes,follow up later,0
(140)316-6257,cameronsmith@carter-holland.info,600,36-50,Married,695253,Doctor,Yes,urgent,1
001-664-024-2286,davismary@gmail.com,514,18-25,Single,586521,Artist,Yes,urgent,1
268-339-8111,kgriffin@smith-glenn.info,756,51+,Married,957773,Doctor,No,urgent,1
001-764-995-6534x30285,danielle04@lopez-nguyen.com,495,26-35,Single,550122,Artist,Yes,urgent,1
001-015-258-2406x470,nphelps@greene.org,315,18-25,Married,599020,Business,Yes,,0
730.305.9964,bsutton@yahoo.com,596,51+,Married with Kids,327319,Engineer,No,please call back,0
141.041.7796x9905,george33@yahoo.com,834,18-25,Married with Kids,309257,Engineer,Yes,not interested,1
(536)845-0537x261,fuenteskaren@mcgee.org,452,18-25,Married with Kids,973141,Student,Yes,,1
457-773-9704x828,sarahhutchinson@allen.biz,525,51+,Married with Kids,151645,Artist,No,follow up later,0
868.323.2069x164,wagnerjamie@jones.org,646,36-50,Single,293077,Student,No,,0
095-636-3266,michealwilkerson@shaw.biz,430,51+,Married,288557,Artist,Yes,not interested,0
214-554-2548,ohenry@valencia.com,552,36-50,Single,877662,Business,No,,1
209-195-6125x43757,zhill@jackson.org,787,51+,Married,557956,Business,No,urgent,1
189-661-4566,jacobroth@yahoo.com,454,26-35,Married with Kids,565385,Artist,No,please call back,0
+1-550-699-7626x3532,gonzalezpatrick@baker.com,304,18-25,Single,306605,Doctor,No,,1
001-038-001-6082x4767,jacob78@thompson-owen.biz,550,26-35,Married with Kids,591799,Doctor,No,not interested,0
001-138-527-4846x10728,kathythompson@yahoo.com,539,18-25,Married with Kids,314228,Doctor,No,not interested,0
(238)844-8033x44540,mary61@young.net,687,18-25,Married,112200,Business,Yes,,0
(499)078-5188x04587,tammyryan@higgins.com,749,26-35,Married with Kids,396361,Engineer,No,follow up later,0
(537)682-7728,ydunn@smith.com,747,18-25,Married with Kids,385820,Student,Yes,please call back,1
538-527-5351x7055,villanuevamiranda@moreno.biz,677,51+,Single,234599,Artist,Yes,please call back,1
109.108.5483,edward65@gutierrez.com,337,18-25,Single,512601,Business,Yes,follow up later,0
001-465-323-6498,shafferjames@miller-howard.com,625,51+,Married with Kids,381699,Business,No,follow up later,0
026.228.4716x113,otaylor@rodriguez.com,537,51+,Single,611379,Artist,Yes,not interested,0
001-690-262-2439x11587,ibarnes@yahoo.com,705,36-50,Married with Kids,323531,Business,No,not interested,0
(439)455-0143,alanleonard@barnes.com,556,51+,Single,339919,Doctor,No,,0
141-665-4578x7773,tiffany61@gmail.com,666,18-25,Married,838840,Artist,Yes,not interested,1
(275)330-8340x793,diane30@johnson-castillo.com,643,51+,Married with Kids,844824,Engineer,No,follow up later,1
+1-899-066-4615,vhowell@gmail.com,691,26-35,Married with Kids,536907,Artist,No,not interested,0
529.570.6470x759,sarah40@hotmail.com,539,51+,Married,289307,Student,No,follow up later,0
680.628.5516,freemanemma@hodges.com,473,26-35,Single,217523,Engineer,No,,1
(340)751-5081,spencerli@nelson.net,563,51+,Single,186293,Student,Yes,please call back,0
857-235-4326x94540,davidvalencia@mcdaniel-mcclure.com,579,36-50,Single,682295,Doctor,Yes,,1
694-239-2589x5312,catherineewing@gmail.com,585,26-35,Married with Kids,773279,Doctor,No,urgent,1
+1-523-138-2180x30448,jtownsend@yahoo.com,343,51+,Married,228363,Student,No,,0
484-735-2831x7355,vlee@hotmail.com,706,51+,Single,741228,Business,Yes,follow up later,1
+1-006-016-7081x3653,gouldjohnathan@coleman.com,747,36-50,Married with Kids,134308,Student,Yes,urgent,1
+1-432-793-7659x4246,sarias@hotmail.com,444,26-35,Married with Kids,587583,Student,No,please call back,0
310.608.9094x282,allencosta@smith.net,802,26-35,Married with Kids,878930,Business,Yes,not interested,1
001-771-963-7761x76302,michaelharris@morales.com,725,26-35,Single,129867,Engineer,No,,0
001-194-599-1570x7365,brooksstacey@gibson-cox.com,601,36-50,Married with Kids,983038,Artist,No,please call back,1
(035)249-6885x2171,felicia14@garcia-williamson.net,336,26-35,Single,640040,Business,Yes,not interested,0
001-346-163-4247x86796,colemangary@walker.info,513,26-35,Married with Kids,273955,Artist,No,,1
741-160-5153,brent18@jones.biz,389,36-50,Single,518027,Student,Yes,not interested,0
253-191-0390x131,williamsjulie@yahoo.com,677,51+,Married with Kids,558201,Engineer,Yes,,1
(021)425-5912x99233,erichoward@hotmail.com,753,36-50,Single,140992,Student,Yes,follow up later,1
777.102.4651x19195,kathleenlee@gmail.com,807,26-35,Married,821273,Engineer,No,,1
+1-086-910-8597x21481,james85@hotmail.com,653,36-50,Married,403946,Doctor,Yes,not interested,0
866-466-0517x15044,smithangela@jenkins-ferguson.com,586,36-50,Married,462441,Artist,No,not interested,0
647-348-0427,richardariel@armstrong.com,692,26-35,Married with Kids,276050,Artist,No,not interested,0
(477)895-4999,wevans@snyder.com,361,18-25,Married,519908,Artist,No,urgent,1
037-098-4304x2281,wbishop@hotmail.com,808,36-50,Single,555786,Artist,Yes,not interested,1
6775474869,cynthia63@yahoo.com,374,26-35,Married with Kids,835084,Student,Yes,follow up later,1
+1-418-236-1872x6375,benjaminrollins@holland.com,599,51+,Married,361904,Doctor,Yes,urgent,1
961-117-9999,rachel33@myers.com,844,26-35,Married with Kids,999614,Engineer,Yes,please call back,1
597-304-4128x4836,sawyertodd@jenkins.com,301,18-25,Married,613813,Student,No,not interested,0
(749)050-6026x5583,raykristen@yahoo.com,825,18-25,Married with Kids,885230,Business,Yes,not interested,1
960-973-0000x842,matthew73@adams-alexander.com,396,26-35,Single,950345,Engineer,No,urgent,1
821-783-4839x97145,gsimpson@harris-tanner.info,647,36-50,Single,902467,Engineer,No,,1
(102)422-6233x44700,michael14@hughes.com,322,51+,Married with Kids,942965,Business,No,follow up later,1
542-233-3753x324,bavila@freeman-wolfe.info,715,51+,Single,390184,Business,Yes,follow up later,1
850-371-1492x8904,wolfeheather@yahoo.com,352,36-50,Married,186102,Business,No,follow up later,0
+1-414-808-9291,laurasmith@ross.com,844,36-50,Married,919789,Doctor,Yes,please call back,1
010-209-1921x83240,marcuspatterson@yahoo.com,832,51+,Married with Kids,905753,Artist,Yes,urgent,1
+1-236-548-7518,burnsrichard@hotmail.com,442,18-25,Married with Kids,657214,Engineer,Yes,,0
822-187-3100x372,david62@conway.org,792,36-50,Married,396643,Student,Yes,urgent,1
+1-411-952-2484x179,larsonmadison@yahoo.com,827,26-35,Single,740120,Doctor,Yes,please call back,1
960.315.5267x0937,nunezrobert@williams.com,308,51+,Married,267863,Doctor,Yes,urgent,1
001-110-761-1584x165,xsullivan@watts.com,387,26-35,Married,655074,Engineer,No,follow up later,1
001-112-885-3428x4262,keykaitlyn@hall.com,344,51+,Married,819843,Engineer,No,,1
751-419-5421,rayjustin@yahoo.com,565,18-25,Single,545302,Engineer,No,follow up later,1
276.074.4555x66157,arobinson@hotmail.com,698,36-50,Single,554499,Doctor,No,urgent,1
167.218.9401x84866,chelsea63@hotmail.com,794,18-25,Married,773098,Doctor,No,urgent,1
+1-596-777-4358x474,psmith@gmail.com,304,51+,Married with Kids,884302,Business,No,not interested,1
5350972133,johnsonanthony@yahoo.com,436,36-50,Married with Kids,755140,Doctor,No,not interested,1
(224)486-9120x91180,laurie10@hotmail.com,780,18-25,Married,840586,Doctor,Yes,not interested,1
001-991-592-6376x97950,ismith@ross-obrien.biz,446,51+,Single,615976,Business,No,follow up later,0
733.417.0870x4935,garylopez@gmail.com,825,36-50,Married,402297,Engineer,Yes,please call back,1
+1-564-572-9568x723,travisrangel@hendricks-chapman.com,484,51+,Married,291000,Engineer,No,follow up later,0
001-230-403-6002x33050,courtneycox@hotmail.com,717,36-50,Married with Kids,243841,Artist,Yes,,1
289-575-3070x91881,maria87@johnston.org,463,36-50,Single,682611,Engineer,Yes,,1
+1-513-464-7060,jedwards@yahoo.com,601,18-25,Married,947151,Student,Yes,follow up later,1
028.550.0503,jared41@yahoo.com,375,18-25,Married,637313,Doctor,Yes,,0
2891271852,danielrussell@oneill.com,763,18-25,Married with Kids,410678,Doctor,No,,1
322.923.0308x90096,fergusonrussell@sullivan.info,353,36-50,Single,210139,Doctor,No,not interested,0
189.294.7534,michael03@brown.com,322,18-25,Single,567465,Student,No,please call back,0
596.231.9196x7307,jill45@yahoo.com,324,26-35,Single,990111,Business,Yes,please call back,1
001-586-534-5961x641,patricia88@herman-hughes.com,668,26-35,Married with Kids,711052,Student,Yes,urgent,1
+1-023-229-3171,agarrett@walter.com,654,51+,Married with Kids,225546,Artist,Yes,follow up later,1
001-194-921-8826x8910,sandraroach@buchanan.com,540,51+,Married with Kids,495711,Engineer,Yes,follow up later,1
873.084.4932,johnsontammy@foster.org,485,26-35,Single,444231,Engineer,No,not interested,0
(596)856-3269x044,robinsonkimberly@west.com,776,26-35,Married,374000,Business,Yes,,1
954-861-2405,cboyd@yahoo.com,347,26-35,Single,378625,Business,No,follow up later,0
622.988.7755,adamsanders@holmes.com,419,51+,Single,257038,Business,Yes,,0
(286)997-6194,mccallnicole@landry.com,485,26-35,Married,870763,Doctor,No,follow up later,1
(479)368-4344x526,lovepaul@jensen-orozco.net,344,18-25,Married,229293,Doctor,Yes,,1
886-864-6359,dperry@anderson-baker.com,794,36-50,Single,109468,Business,Yes,,1
003.306.7475x278,hsullivan@lopez.biz,536,36-50,Single,546507,Business,Yes,urgent,1
2835109465,browningjoseph@hotmail.com,553,18-25,Married with Kids,827046,Business,No,please call back,1
(868)762-3669x697,jessicasanders@barrett.com,585,36-50,Married with Kids,724443,Artist,Yes,not interested,1
+1-726-996-8492x57063,groberts@collins.com,713,18-25,Married with Kids,499013,Student,Yes,follow up later,0
874.945.1399x430,gary68@gmail.com,415,36-50,Single,247649,Artist,Yes,,0
001-358-666-7834x308,brian83@evans-morris.com,501,36-50,Married with Kids,664237,Business,No,follow up later,1
8140692703,david38@yahoo.com,841,51+,Single,113412,Business,No,follow up later,1
970.908.4141x684,moraleslee@hotmail.com,452,18-25,Married with Kids,975411,Student,Yes,urgent,1
964.195.2711,psmith@gmail.com,825,36-50,Married,878281,Artist,Yes,,1
001-897-768-5949x5862,marissa34@gmail.com,376,26-35,Married,711072,Engineer,Yes,not interested,1
+1-058-743-1568x41406,angela89@jones.com,414,26-35,Married,810621,Doctor,No,please call back,1
001-991-812-1588x6033,juan96@roman.com,524,18-25,Single,679894,Engineer,No,,1
+1-942-366-8428x7228,maddoxgabriel@gmail.com,498,36-50,Married with Kids,961228,Engineer,No,follow up later,1
929.804.4585x1952,jenniferosborne@yahoo.com,375,18-25,Married,434262,Student,Yes,please call back,1
6806671410,timothymcmillan@valdez.biz,389,36-50,Married with Kids,822039,Student,No,not interested,1
+1-391-043-3044x221,ztanner@gmail.com,758,51+,Single,947010,Student,Yes,not interested,1
001-832-404-1477,shepherdsierra@ortiz-moore.com,438,18-25,Married,612002,Student,No,please call back,0
591.113.2979,stevensnatasha@yahoo.com,602,26-35,Single,350685,Doctor,No,follow up later,0
+1-621-274-3940x80965,nconway@gmail.com,633,18-25,Single,361696,Artist,No,follow up later,0
+1-734-238-0023x3742,patriciamartinez@hotmail.com,531,36-50,Married,219220,Student,Yes,not interested,0
131-247-4282,kristenhall@stark-wilcox.com,542,36-50,Single,585034,Business,No,urgent,1
191-331-7920,castillolaura@gmail.com,504,26-35,Single,249053,Business,Yes,follow up later,0
(860)711-1984x665,martinmatthew@williams.com,814,51+,Married with Kids,641684,Artist,No,urgent,1
1226084362,guerreroadrian@lee.biz,315,36-50,Married,679482,Business,Yes,follow up later,1
482-062-7150,brenda62@clarke.com,415,26-35,Single,949611,Student,No,not interested,1
001-292-093-7283x295,powellchristine@yahoo.com,331,36-50,Married,525570,Artist,Yes,please call back,1
288.386.5716,christopher06@hotmail.com,580,26-35,Single,164953,Business,No,,0
777-662-9186x041,georgeyoung@yahoo.com,512,36-50,Single,649560,Business,Yes,please call back,0
+1-001-637-0672x3405,hudsonwilliam@gmail.com,595,36-50,Married,668502,Engineer,Yes,please call back,1
072-104-9799,schneiderevelyn@gmail.com,494,51+,Single,135167,Doctor,No,please call back,0
711-685-1854,fbarnes@yahoo.com,579,51+,Married,564682,Doctor,No,follow up later,0
490-906-9576x70262,dwells@berry.info,530,36-50,Married with Kids,457080,Doctor,No,follow up later,0
(445)872-0754x58712,ronaldmckee@hotmail.com,416,18-25,Married,347199,Doctor,No,please call back,1
496-493-1300,travis71@yahoo.com,710,36-50,Married,196259,Student,Yes,follow up later,0
678.877.4401x479,ann75@diaz-huffman.org,527,36-50,Married,284442,Doctor,Yes,,0
344.376.8255x4835,awilliams@yahoo.com,723,26-35,Married with Kids,428182,Artist,Yes,not interested,0
117.261.6365,jasonsmith@yahoo.com,568,26-35,Single,886837,Doctor,No,not interested,1
+1-547-274-7373x48490,sjohns@martinez.net,449,26-35,Married with Kids,592907,Business,Yes,follow up later,1
+1-797-721-1652x804,courtneystewart@gmail.com,320,26-35,Married with Kids,795974,Student,Yes,urgent,1
001-830-216-0963,humphreykeith@wong.com,609,26-35,Married with Kids,576438,Engineer,Yes,urgent,1
+1-187-264-5929x3955,sbrooks@hotmail.com,628,18-25,Single,516144,Artist,Yes,not interested,0
497.000.4989x1808,igardner@gmail.com,415,51+,Single,276682,Artist,No,not interested,0
001-267-648-5058,baxterbrandy@douglas.info,570,26-35,Single,765674,Doctor,Yes,not interested,1
260.356.5161x7650,robertbeard@gray.com,828,18-25,Single,131242,Doctor,No,urgent,1
384.957.1903,callahanmelissa@gmail.com,658,18-25,Married with Kids,463337,Student,No,,0
106.387.0764,lgreen@edwards-mitchell.com,700,51+,Single,655589,Engineer,No,not interested,0
177-567-7373x0803,qneal@white.com,487,26-35,Married with Kids,431797,Doctor,Yes,,1
364-585-6668x94139,ashleymyers@stone-peterson.com,375,18-25,Married with Kids,219860,Artist,Yes,follow up later,0
4865205814,gordonthomas@gmail.com,332,26-35,Married,991318,Doctor,No,follow up later,1
813.971.9062x515,yacevedo@yahoo.com,403,18-25,Married with Kids,625266,Business,Yes,not interested,0
971.241.6965,davidlewis@hotmail.com,716,26-35,Single,797261,Business,Yes,follow up later,1
+1-788-463-2018x32901,johnsonelizabeth@hotmail.com,482,26-35,Married with Kids,548097,Doctor,Yes,not interested,0
001-592-076-8125x64051,cmcfarland@fitzgerald.biz,375,18-25,Married with Kids,429663,Business,No,,0
+1-429-921-0201x78377,cassandra77@yahoo.com,572,51+,Married,890221,Business,Yes,follow up later,1
691-671-8499x3425,milesmichael@lopez.net,391,18-25,Single,716267,Student,Yes,please call back,1
001-723-204-2924,sue93@yahoo.com,345,51+,Single,894714,Student,Yes,follow up later,1
+1-216-567-9733x400,fmiller@sheppard.biz,536,26-35,Married with Kids,413202,Doctor,No,please call back,0
(735)587-0506,davidlong@yahoo.com,597,18-25,Married,516765,Doctor,No,urgent,1
(951)245-6894,cathy58@yahoo.com,742,51+,Married,480159,Artist,No,,0
5415751784,jonathon91@hotmail.com,822,36-50,Single,515721,Business,Yes,,1
724.482.0133,michael83@hill.com,647,36-50,Married with Kids,767278,Student,No,follow up later,1
001-691-313-0943,anne52@yahoo.com,445,26-35,Single,552269,Engineer,No,urgent,1
001-853-890-8047x805,brownmichael@gmail.com,435,26-35,Single,250378,Artist,Yes,please call back,0
267.940.3051x96564,thomasfreeman@hotmail.com,762,36-50,Single,195346,Doctor,No,,1
(996)851-2970x790,angeladelacruz@johnson.com,494,18-25,Single,512255,Engineer,No,urgent,1
6805774938,jennymartin@hotmail.com,511,18-25,Married with Kids,651892,Artist,No,please call back,1
0378910097,spencer03@yahoo.com,740,51+,Married,903319,Artist,Yes,follow up later,1
351.559.0091x4416,adam79@miller.com,727,26-35,Single,328067,Doctor,No,,1
+1-308-292-0998x3167,markgrant@jackson-monroe.com,460,26-35,Married,222014,Engineer,Yes,not interested,0
6913437679,christybanks@hotmail.com,304,18-25,Single,989051,Artist,Yes,follow up later,1
212-182-4826x9837,kevin74@gmail.com,434,51+,Married with Kids,378019,Business,No,please call back,1
966-932-1767,ncummings@smith.net,619,18-25,Single,660109,Doctor,No,not interested,0
(540)028-5577,vford@berry.biz,585,36-50,Married,399634,Engineer,No,,0
915-047-8658,cassandrablanchard@morris-johnson.biz,390,36-50,Married with Kids,656959,Engineer,No,,1
001-248-246-2831,johnsonanna@yahoo.com,553,26-35,Single,742127,Student,Yes,urgent,1
+1-706-066-8367x324,gpayne@smith.com,787,18-25,Married,131365,Student,Yes,please call back,1
636.664.2808,heididrake@gmail.com,540,26-35,Single,186371,Business,No,,0
(438)277-3899x2020,jenna53@hotmail.com,673,26-35,Single,442999,Artist,Yes,please call back,1
(467)218-2031x701,morriskenneth@hotmail.com,791,26-35,Single,514672,Doctor,Yes,,1
+1-426-803-9596x16384,janet99@cole-larson.com,599,36-50,Married with Kids,540037,Engineer,Yes,please call back,0
897-917-3049,piercedenise@yahoo.com,849,18-25,Married with Kids,207743,Doctor,Yes,,1
001-833-952-4828,sandrabarnes@lam-dickerson.com,452,36-50,Married,266774,Doctor,Yes,follow up later,1
479.933.1026,martinjacqueline@hotmail.com,499,18-25,Single,962761,Doctor,No,follow up later,1
962.886.2145x17165,amoore@yahoo.com,717,36-50,Married with Kids,607804,Engineer,No,follow up later,1
209.373.0758x905,frank41@nielsen.net,313,51+,Married with Kids,509707,Student,Yes,please call back,1
8892472303,lcarter@callahan.com,561,36-50,Single,811078,Doctor,No,,1
001-476-052-3416x3117,slong@alvarado.com,848,36-50,Married,538282,Engineer,No,,1
469.953.0460x7606,avilarobert@gmail.com,618,26-35,Married,650750,Student,Yes,follow up later,0
+1-216-356-6476x35856,jeffreynewton@yahoo.com,513,18-25,Married with Kids,771580,Business,No,,1
(743)614-6173,greenmary@mason.info,773,18-25,Single,151668,Student,No,not interested,1
(885)691-0339,omcdowell@yahoo.com,550,36-50,Married with Kids,633483,Business,No,please call back,1
+1-794-490-5818x0615,aclements@hotmail.com,415,26-35,Single,236883,Engineer,No,follow up later,0
595-227-3788,michellekramer@gmail.com,675,36-50,Single,335607,Engineer,Yes,not interested,0
+1-489-288-4076x832,allison22@gmail.com,633,36-50,Married,428655,Engineer,No,not interested,0
(644)964-6917x052,jessicamorgan@weaver.biz,600,51+,Single,175478,Business,Yes,,0
111.947.6974x16800,natalie31@hotmail.com,318,36-50,Married with Kids,733228,Doctor,Yes,urgent,1
371-787-0518,mathewburke@hotmail.com,418,51+,Married,562776,Engineer,No,please call back,1
(962)881-6081x859,ginapowell@gmail.com,697,18-25,Married with Kids,669343,Artist,No,follow up later,0
(282)052-7811,jgolden@henderson.info,364,26-35,Single,212047,Student,No,not interested,0
+1-855-369-3906x5435,benjamin29@sawyer-rodgers.com,614,18-25,Married,493394,Engineer,Yes,urgent,1
(782)574-2382,tracy03@gmail.com,359,18-25,Married,804986,Student,Yes,,1
+1-864-199-8951,william65@hotmail.com,363,36-50,Single,170524,Artist,No,follow up later,0
408-738-9618x2253,joshuahernandez@gmail.com,383,26-35,Married with Kids,312253,Business,No,follow up later,0
511.319.1391x08156,meyeralexander@hotmail.com,641,18-25,Single,874145,Doctor,Yes,not interested,1
817.547.5559,mckenziekeith@cortez.com,625,26-35,Married,265914,Business,Yes,please call back,1
648-515-1094x279,marcus32@yahoo.com,351,51+,Married with Kids,348776,Artist,Yes,follow up later,1
547-286-9291,ricemisty@gmail.com,589,26-35,Married with Kids,176403,Engineer,No,follow up later,0
060.668.0911x587,santiagodorothy@hotmail.com,691,26-35,Married with Kids,263564,Student,Yes,,1
741-068-5418x312,turnerrobin@hotmail.com,417,26-35,Married with Kids,866259,Business,Yes,urgent,1
001-265-296-7708x100,andersonlaura@king.net,465,18-25,Single,730787,Doctor,Yes,urgent,1
001-150-147-6935x58550,heatherwilson@yahoo.com,632,18-25,Married,525878,Business,No,please call back,0
